epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7246,4.05033,4.62295,2.48875,0,0,0,0,3.78733,4.4064,1.90785,2e-05,2e-05,2e-05
1,14.5168,4.05033,4.62295,2.48875,0,0,0,0,3.78733,4.4064,1.90785,2e-05,2e-05,2e-05
2,25.2971,4.01101,4.35306,2.30759,0,0,0,0,3.75698,4.37114,1.86753,5.9604e-05,5.9604e-05,5.9604e-05
3,35.2875,3.90483,4.42185,2.16366,0.00042,0.01389,0.00021,0.00015,3.62078,4.30401,1.76697,9.868e-05,9.868e-05,9.868e-05
4,44.844,3.67303,4.0974,2.10221,0.00125,0.04167,0.00066,0.00022,3.55331,4.10806,1.63256,0.000137228,0.000137228,0.000137228
5,54.8992,3.8762,4.17678,1.84937,0.005,0.16667,0.00299,0.00063,3.44111,3.96174,1.50646,0.000175248,0.000175248,0.000175248
6,64.8963,3.17968,3.76131,1.74274,0.0075,0.25,0.00471,0.00123,3.23023,3.86628,1.41219,0.00021274,0.00021274,0.00021274
7,74.5013,3.28888,3.44406,1.69038,0.00833,0.27778,0.00551,0.00152,3.07567,3.78251,1.36213,0.000249704,0.000249704,0.000249704
8,83.8778,3.11215,3.30181,1.60004,0.01208,0.40278,0.01052,0.00307,2.87093,3.73275,1.3309,0.00028614,0.00028614,0.00028614
9,93.6789,3.06184,2.87289,1.49376,0.00958,0.31944,0.00936,0.00289,2.8897,3.78483,1.38321,0.000322048,0.000322048,0.000322048
10,103.071,2.84067,2.83926,1.40412,0.005,0.16667,0.00416,0.00127,2.95724,3.91218,1.48276,0.000357428,0.000357428,0.000357428
11,112.739,2.96074,2.81263,1.40973,0.00167,0.05556,0.00106,0.00037,2.92259,4.15743,1.64492,0.00039228,0.00039228,0.00039228
12,122.78,2.76968,2.63282,1.37174,0.00125,0.04167,0.00078,0.00025,2.95769,4.26645,1.68054,0.000426604,0.000426604,0.000426604
13,132.388,2.72139,2.63739,1.41937,0.00208,0.06944,0.00141,0.00055,2.83998,4.15059,1.58295,0.0004604,0.0004604,0.0004604
14,141.928,2.96269,2.61229,1.46863,0.00292,0.09722,0.00245,0.00119,2.85168,3.96626,1.54145,0.000493668,0.000493668,0.000493668
15,151.238,2.84731,2.40087,1.43465,0.00375,0.125,0.00324,0.00111,2.75967,3.89095,1.48262,0.000526408,0.000526408,0.000526408
16,160.965,2.80058,2.40472,1.42778,0.00417,0.13889,0.00318,0.0012,2.67621,3.8339,1.42627,0.00055862,0.00055862,0.00055862
17,170.645,2.78962,2.40834,1.40661,0.00583,0.19444,0.00513,0.00145,2.70857,3.78402,1.39606,0.000590304,0.000590304,0.000590304
18,179.816,2.57245,2.13822,1.39872,0.00792,0.26389,0.00798,0.00303,2.57117,3.60215,1.30268,0.00062146,0.00062146,0.00062146
19,189.062,2.80931,2.43856,1.39121,0.01208,0.40278,0.01406,0.00505,2.47678,3.4935,1.2699,0.000652088,0.000652088,0.000652088
20,198.572,2.68691,2.34085,1.4261,0.00958,0.31944,0.00964,0.00323,2.60385,3.47787,1.32449,0.000682188,0.000682188,0.000682188
21,208.042,2.53266,2.17444,1.41842,0.00792,0.26389,0.00734,0.00232,2.66594,3.54055,1.35878,0.00071176,0.00071176,0.00071176
22,217.876,2.60911,2.19768,1.37768,0.00625,0.20833,0.00509,0.00165,2.76634,3.65597,1.40247,0.000740804,0.000740804,0.000740804
23,227.392,2.50428,2.24181,1.37808,0.00625,0.20833,0.00488,0.00161,2.80059,3.70621,1.42655,0.00076932,0.00076932,0.00076932
24,236.93,2.67469,2.1765,1.2941,0.00792,0.26389,0.00696,0.00219,2.73963,4.22877,1.40911,0.000797308,0.000797308,0.000797308
25,246.764,2.46097,1.95119,1.40517,0.01167,0.38889,0.01189,0.00369,2.69482,3.38361,1.39677,0.000824768,0.000824768,0.000824768
26,256.709,2.52209,1.92417,1.32299,0.01333,0.44444,0.01702,0.00548,2.73363,3.20566,1.42712,0.0008517,0.0008517,0.0008517
27,266.3,2.52528,1.86372,1.36654,0.01458,0.48611,0.02046,0.00588,2.69992,3.20322,1.41157,0.000878104,0.000878104,0.000878104
28,275.732,2.34155,1.76562,1.33694,0.01458,0.48611,0.02046,0.00588,2.69992,3.20322,1.41157,0.00090398,0.00090398,0.00090398
29,285.068,2.4734,1.97554,1.33328,0.1216,0.06944,0.03579,0.01216,2.64598,3.49222,1.35712,0.000929328,0.000929328,0.000929328
30,295.191,2.42721,2.21739,1.34495,0.01708,0.56944,0.0466,0.01138,2.71302,3.28639,1.35751,0.000954148,0.000954148,0.000954148
31,304.943,2.27195,1.8324,1.24573,0.01708,0.56944,0.0466,0.01138,2.71302,3.28639,1.35751,0.00097844,0.00097844,0.00097844
32,314.475,2.3973,1.84005,1.31843,0.16032,0.26389,0.1499,0.0406,2.71026,2.96743,1.34567,0.0010022,0.0010022,0.0010022
33,324.375,2.38476,1.82663,1.32023,0.01792,0.59722,0.07309,0.01665,2.75925,3.48038,1.36218,0.00102544,0.00102544,0.00102544
34,333.866,2.49229,1.8757,1.29717,0.01792,0.59722,0.07309,0.01665,2.75925,3.48038,1.36218,0.00104815,0.00104815,0.00104815
35,343.407,2.40313,1.84974,1.27735,0.13073,0.26389,0.06374,0.01451,2.84548,3.62495,1.40285,0.00107033,0.00107033,0.00107033
36,353.467,2.52328,1.87643,1.27049,0.70351,0.09722,0.18302,0.05076,2.82834,2.79851,1.43191,0.00109198,0.00109198,0.00109198
37,362.944,2.39994,1.75077,1.26106,0.70351,0.09722,0.18302,0.05076,2.82834,2.79851,1.43191,0.0011131,0.0011131,0.0011131
38,372.851,2.319,1.74786,1.27758,0.5974,0.125,0.28296,0.07999,2.63181,2.46658,1.38251,0.0011337,0.0011337,0.0011337
