epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3103,4.49422,13.8224,2.4716,0.00167,0.07692,0.00106,0.00013,4.00082,10.1724,2.19878,2e-05,2e-05,2e-05
2,44.8916,4.74591,14.6428,2.41697,0.00111,0.05128,0.0006,9e-05,3.96275,10.0319,2.14749,5.8812e-05,5.8812e-05,5.8812e-05
3,63.8214,4.84125,10.4062,2.31368,0.00222,0.10256,0.00126,0.00025,3.9081,9.4371,2.07359,9.604e-05,9.604e-05,9.604e-05
4,81.0762,4.26376,9.1907,2.24828,0.01246,0.02564,0.0077,0.00164,3.70493,11.022,1.90516,0.000131684,0.000131684,0.000131684
5,98.4726,3.95537,6.73854,2.0514,0.00698,0.28205,0.00529,0.00097,3.80126,8.65929,1.90552,0.000165744,0.000165744,0.000165744
6,117.248,3.83903,6.07632,1.77809,0.00778,0.35897,0.00838,0.00176,3.53238,7.0096,1.81192,0.00019822,0.00019822,0.00019822
7,135.604,3.519,5.35977,1.74435,0.01222,0.5641,0.01727,0.00472,3.24854,6.30155,1.74624,0.000229112,0.000229112,0.000229112
8,155.762,3.333,7.00772,1.6376,0.00944,0.4359,0.01406,0.00344,3.2338,5.83271,1.70491,0.00025842,0.00025842,0.00025842
9,177.21,3.29589,5.04472,1.57443,0.005,0.23077,0.00596,0.00179,3.27078,5.80099,1.70809,0.000286144,0.000286144,0.000286144
10,195.648,3.38329,4.25468,1.67351,0.005,0.23077,0.0057,0.00151,3.29719,5.7039,1.72652,0.000312284,0.000312284,0.000312284
11,213.01,3.39668,3.84719,1.44897,0.00778,0.35897,0.01201,0.00363,3.19237,5.21524,1.70777,0.00033684,0.00033684,0.00033684
12,229.35,3.51418,3.81583,1.55492,0.00667,0.30769,0.01,0.00247,3.47522,4.94231,1.7617,0.000359812,0.000359812,0.000359812
13,247.233,3.20279,3.18694,1.60797,0.00778,0.35897,0.01614,0.00466,3.24387,4.52362,1.66089,0.0003812,0.0003812,0.0003812
14,267.501,3.21929,3.07819,1.58121,0.01772,0.02564,0.02339,0.0072,2.87082,4.08046,1.51859,0.000401004,0.000401004,0.000401004
15,286.775,3.11803,3.01112,1.40954,0.0297,0.02564,0.03388,0.01115,2.91454,3.90969,1.50894,0.000419224,0.000419224,0.000419224
16,303.834,3.11931,2.97301,1.40822,0.063,0.12076,0.05048,0.01339,2.81329,3.69499,1.45295,0.00043586,0.00043586,0.00043586
17,321.206,2.94801,2.78249,1.35661,0.08999,0.17949,0.07343,0.02174,2.92775,3.47501,1.51359,0.000450912,0.000450912,0.000450912
18,338.624,3.08457,2.52116,1.5121,0.11603,0.23077,0.10214,0.02696,2.779,3.398,1.45633,0.00046438,0.00046438,0.00046438
19,358.327,2.8568,2.44414,1.26696,0.0454,0.16101,0.02438,0.00939,2.73135,3.58988,1.47088,0.000476264,0.000476264,0.000476264
20,378.046,2.83225,2.51727,1.32951,0.02287,0.12821,0.02193,0.00706,2.76293,4.13426,1.47594,0.000486564,0.000486564,0.000486564
21,396.174,2.70542,2.56115,1.3223,0.03257,0.25641,0.025,0.00955,2.71247,5.64859,1.47623,0.00049528,0.00049528,0.00049528
22,412.747,2.76789,2.31149,1.4173,0.02652,0.28205,0.02365,0.00864,2.73464,8.42586,1.49307,0.000502412,0.000502412,0.000502412
23,429.116,2.73154,1.94527,1.31288,0.01278,0.58974,0.01857,0.00642,2.66941,8.62969,1.39615,0.00050796,0.00050796,0.00050796
