epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.703,4.68042,8.34732,2.4933,0,0,0,0,4.00657,6.93993,2.29727,2e-05,2e-05,2e-05
2,43.2232,4.77784,8.48515,2.47722,0,0,0,0,3.7905,5.87105,2.0972,5.8812e-05,5.8812e-05,5.8812e-05
3,62.6839,4.46862,5.82477,2.02725,0.00111,0.05128,0.00059,0.00015,3.96043,5.43383,1.90065,9.604e-05,9.604e-05,9.604e-05
4,86.157,3.99933,5.19811,1.94347,0.005,0.23077,0.00365,0.00074,3.90381,4.85636,1.85517,0.000131684,0.000131684,0.000131684
5,106.195,3.69135,4.46157,1.8415,0.00722,0.33333,0.0072,0.00168,3.61999,7.04532,1.77869,0.000165744,0.000165744,0.000165744
6,128.825,3.71398,4.05211,1.68171,0.00928,0.35897,0.00873,0.00145,3.85998,5.701,1.82612,0.00019822,0.00019822,0.00019822
7,152.63,3.25279,3.91164,1.69231,0.00356,0.05128,0.00142,0.00033,4.10525,15.4909,2.00434,0.000229112,0.000229112,0.000229112
8,175.977,3.00137,3.85029,1.51204,0.00714,0.30769,0.00551,0.00099,3.52137,20.4951,1.8309,0.00025842,0.00025842,0.00025842
9,199.372,3.06528,3.12912,1.48933,0.00703,0.12821,0.00439,0.00109,3.83163,22.7818,2.17972,0.000286144,0.000286144,0.000286144
10,219.194,3.23739,3.12366,1.61108,0.03805,0.10256,0.01422,0.00354,3.62863,29.29,2.06985,0.000312284,0.000312284,0.000312284
11,242.724,3.31234,2.65499,1.41329,0.03886,0.12821,0.01436,0.00355,3.92969,28.0332,2.28316,0.00033684,0.00033684,0.00033684
12,262.465,3.44488,2.77476,1.54174,0.0237,0.07692,0.00451,0.00123,4.28202,34.0692,2.456,0.000359812,0.000359812,0.000359812
13,283.884,2.97271,2.24201,1.51999,0.02791,0.20513,0.01166,0.00271,4.15224,35.3593,2.41426,0.0003812,0.0003812,0.0003812
14,304.209,2.95508,2.51253,1.47831,0.02816,0.20513,0.0149,0.00396,3.16492,29.9614,1.6872,0.000401004,0.000401004,0.000401004
15,324.629,3.04376,2.63309,1.39204,0.02739,0.30769,0.01808,0.00541,2.89816,26.3116,1.60793,0.000419224,0.000419224,0.000419224
16,344.114,3.04509,2.59183,1.42466,0.01636,0.17949,0.00928,0.00282,2.99511,21.5652,1.63494,0.00043586,0.00043586,0.00043586
17,363.423,2.85396,2.35822,1.33858,0.02341,0.17949,0.01144,0.00258,3.15126,18.4515,1.5383,0.000450912,0.000450912,0.000450912
18,382.255,2.91928,2.2372,1.40552,0.0456,0.20513,0.02108,0.00517,3.02638,7.46026,1.51704,0.00046438,0.00046438,0.00046438
19,401.618,2.73486,2.08786,1.2389,0.03073,0.12821,0.03913,0.01953,2.91134,4.61241,1.5011,0.000476264,0.000476264,0.000476264
20,420.938,2.82865,2.15057,1.30312,0.17936,0.02564,0.00865,0.00361,3.27712,4.49091,1.69011,0.000486564,0.000486564,0.000486564
21,440.447,2.55665,2.4458,1.29028,0.00167,0.07692,0.00106,0.0004,3.38098,6.75966,1.87601,0.00049528,0.00049528,0.00049528
22,459.368,2.78913,2.18363,1.4145,0.00056,0.02564,0.00029,0.00021,3.75278,8.71258,2.12372,0.000502412,0.000502412,0.000502412
23,477.838,2.74667,1.98646,1.30651,0.02087,0.02564,0.00201,0.00059,3.71752,6.66897,1.94877,0.00050796,0.00050796,0.00050796
24,497.017,3.01689,2.39566,1.29013,0.04269,0.02564,0.0031,0.00078,3.82756,7.73849,1.87862,0.000511924,0.000511924,0.000511924
25,516.629,2.55532,2.05001,1.24498,0.12848,0.02564,0.01703,0.00777,3.39394,12.1206,1.60711,0.000514304,0.000514304,0.000514304
26,535.239,2.6184,2.0773,1.28056,0.04992,0.07692,0.01729,0.00528,3.12313,10.7519,1.5417,0.0005151,0.0005151,0.0005151
27,554.09,2.41829,2.04589,1.28307,0.16706,0.28205,0.09227,0.02312,2.91566,4.58793,1.46827,0.000514312,0.000514312,0.000514312
28,573.23,2.65435,2.0048,1.35343,0.16706,0.28205,0.09227,0.02312,2.91566,4.58793,1.46827,0.00051194,0.00051194,0.00051194
29,594.439,2.79713,2.19864,1.32483,0.22127,0.20513,0.07416,0.02196,3.06408,3.28117,1.54997,0.000507984,0.000507984,0.000507984
30,616.129,2.70077,2.21096,1.27065,0.26513,0.20513,0.08491,0.02917,3.14922,3.2183,1.60923,0.000502444,0.000502444,0.000502444
31,635.989,2.56276,1.97133,1.36661,0.26513,0.20513,0.08491,0.02917,3.14922,3.2183,1.60923,0.00049532,0.00049532,0.00049532
32,655.717,2.7219,2.14927,1.39845,0.45951,0.23077,0.18068,0.04963,2.82069,3.29633,1.46074,0.000486612,0.000486612,0.000486612
33,678.962,2.6484,1.94024,1.23193,0.36589,0.25641,0.20454,0.0652,2.70684,4.03308,1.43068,0.00047632,0.00047632,0.00047632
34,700.369,2.42418,1.78619,1.30529,0.36589,0.25641,0.20454,0.0652,2.70684,4.03308,1.43068,0.000464444,0.000464444,0.000464444
35,719.708,2.45349,1.73317,1.27817,0.17011,0.28205,0.13084,0.03556,2.70999,3.84322,1.42352,0.000450984,0.000450984,0.000450984
