epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5213,4.74235,11.1382,2.55292,0.00056,0.02564,0.00035,4e-05,4.29754,8.44481,2.41297,2e-05,2e-05,2e-05
2,43.7323,4.63689,9.22049,2.5582,0.00056,0.02564,0.00029,3e-05,4.2459,8.10268,2.32815,5.8812e-05,5.8812e-05,5.8812e-05
3,61.2224,4.80956,7.63884,2.34844,0,0,0,0,3.94429,9.54285,2.04969,9.604e-05,9.604e-05,9.604e-05
4,77.9628,4.323,6.58061,2.29244,0.00111,0.05128,0.00063,6e-05,3.82149,10.8568,1.86589,0.000131684,0.000131684,0.000131684
5,96.3084,4.0279,5.4124,2.00069,0.0058,0.23077,0.00343,0.00086,3.6285,36.4598,1.77677,0.000165744,0.000165744,0.000165744
6,116.368,3.80365,5.00489,1.76496,0.00667,0.30769,0.00664,0.00112,3.45512,10.8083,1.68968,0.00019822,0.00019822,0.00019822
7,135.523,3.56303,4.38016,1.76107,0.03386,0.02564,0.00976,0.00184,3.30361,7.34677,1.55676,0.000229112,0.000229112,0.000229112
8,154.361,3.45623,4.43082,1.658,0.13574,0.05128,0.0308,0.00815,3.04109,9.94852,1.41327,0.00025842,0.00025842,0.00025842
9,172.577,3.23655,3.75397,1.53329,0.04284,0.20513,0.02602,0.00636,2.98682,7.21879,1.38448,0.000286144,0.000286144,0.000286144
10,192.255,3.40877,3.421,1.62185,0.04894,0.17949,0.0281,0.00762,2.97601,4.37241,1.37557,0.000312284,0.000312284,0.000312284
11,210.04,3.49605,3.26206,1.51477,0.06381,0.15385,0.03907,0.01407,3.13962,3.328,1.42671,0.00033684,0.00033684,0.00033684
12,232.683,3.49861,3.38791,1.56904,0.09517,0.07692,0.04397,0.0057,3.64211,3.28178,1.61283,0.000359812,0.000359812,0.000359812
13,250.404,3.10759,2.75704,1.51808,0.10135,0.02564,0.0099,0.00179,4.06008,3.78588,1.7652,0.0003812,0.0003812,0.0003812
14,268.963,3.18861,2.95015,1.48951,0.09908,0.02564,0.01364,0.00363,4.2076,4.9626,1.82248,0.000401004,0.000401004,0.000401004
15,286.567,3.15739,2.96318,1.35569,0.03715,0.30769,0.03501,0.00489,3.78377,4.66167,1.51482,0.000419224,0.000419224,0.000419224
16,303.735,3.21333,2.77168,1.42026,0.05292,0.23077,0.03453,0.00658,3.56396,3.75185,1.56015,0.00043586,0.00043586,0.00043586
17,322.509,3.02629,2.53503,1.34385,0.09501,0.12923,0.03732,0.00922,3.55826,3.61032,1.62256,0.000450912,0.000450912,0.000450912
18,341.889,2.94808,2.27313,1.45175,0.16869,0.07692,0.05868,0.01669,3.59413,3.45546,1.60885,0.00046438,0.00046438,0.00046438
19,359.222,2.8295,2.20508,1.2371,0.18424,0.09862,0.06768,0.01306,3.71645,3.4475,1.64108,0.000476264,0.000476264,0.000476264
20,376.077,2.76362,2.2861,1.25884,0.2022,0.15385,0.06762,0.01184,3.55879,3.18281,1.53419,0.000486564,0.000486564,0.000486564
21,392.896,2.67622,2.12933,1.26873,0.26823,0.10256,0.06896,0.01624,3.38791,3.17098,1.55159,0.00049528,0.00049528,0.00049528
22,411.1,2.73334,2.06634,1.37978,0.43605,0.15385,0.15206,0.03115,3.27949,2.70432,1.52446,0.000502412,0.000502412,0.000502412
23,429.484,2.68693,1.82151,1.28349,0.2373,0.15385,0.09527,0.02253,3.35667,2.66549,1.51657,0.00050796,0.00050796,0.00050796
24,446.432,2.92883,2.22983,1.25553,0.06761,0.12821,0.02937,0.0061,3.56771,3.40062,1.54682,0.000511924,0.000511924,0.000511924
25,462.176,2.67214,1.97007,1.24813,0.07909,0.15385,0.03035,0.00639,3.48125,4.23314,1.53547,0.000514304,0.000514304,0.000514304
26,477.34,2.7339,2.17032,1.28218,0.10618,0.23077,0.04823,0.01181,3.27477,3.05233,1.4974,0.0005151,0.0005151,0.0005151
27,493.683,2.5327,1.99026,1.2405,0.29284,0.2762,0.14127,0.03173,2.93838,2.57869,1.41364,0.000514312,0.000514312,0.000514312
28,510.148,2.69646,1.98809,1.28468,0.29284,0.2762,0.14127,0.03173,2.93838,2.57869,1.41364,0.00051194,0.00051194,0.00051194
29,526.978,2.90224,2.09115,1.29916,0.36094,0.25641,0.16922,0.0422,2.88667,2.50427,1.41396,0.000507984,0.000507984,0.000507984
30,543.71,2.7941,2.0887,1.26167,0.26631,0.18633,0.12,0.02785,3.11835,2.53071,1.5014,0.000502444,0.000502444,0.000502444
31,560.193,2.42699,1.78144,1.29326,0.26631,0.18633,0.12,0.02785,3.11835,2.53071,1.5014,0.00049532,0.00049532,0.00049532
32,577.52,2.53181,2.06022,1.30792,0.20137,0.25641,0.09945,0.02361,3.05714,3.06283,1.4815,0.000486612,0.000486612,0.000486612
33,595.467,2.61047,1.941,1.18359,0.2001,0.29517,0.11399,0.03746,2.79454,3.1938,1.39489,0.00047632,0.00047632,0.00047632
34,611.678,2.5187,1.88873,1.2976,0.2001,0.29517,0.11399,0.03746,2.79454,3.1938,1.39489,0.000464444,0.000464444,0.000464444
35,629.406,2.38417,1.65604,1.23155,0.368,0.35897,0.23225,0.08398,2.57731,2.23613,1.34438,0.000450984,0.000450984,0.000450984
36,649.717,2.40832,1.78748,1.18079,0.4658,0.38021,0.31826,0.10512,2.55229,2.10286,1.3703,0.00043594,0.00043594,0.00043594
37,671.21,2.64815,2.00219,1.2561,0.4658,0.38021,0.31826,0.10512,2.55229,2.10286,1.3703,0.000419312,0.000419312,0.000419312
38,690.752,2.53941,1.651,1.2472,0.46614,0.33333,0.33011,0.09871,2.62147,2.05011,1.38649,0.0004011,0.0004011,0.0004011
39,706.681,2.43501,1.57774,1.19872,0.33077,0.49433,0.29135,0.10136,2.60183,2.12856,1.36923,0.000381304,0.000381304,0.000381304
40,723.94,2.33738,1.81346,1.19508,0.33077,0.49433,0.29135,0.10136,2.60183,2.12856,1.36923,0.000359924,0.000359924,0.000359924
