epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.6117,3.9989,5.37275,2.42651,0,0,0,0,4.0521,4.78939,2.10621,2e-05,2e-05,2e-05
2,107.787,3.90647,4.43433,2.14116,0.00292,0.09722,0.00212,0.00049,3.88335,3.71412,1.91424,5.7624e-05,5.7624e-05,5.7624e-05
3,155.423,3.83626,3.55039,2.00975,0.01271,0.23611,0.00826,0.00173,3.52905,7.83013,1.66776,9.208e-05,9.208e-05,9.208e-05
4,204.667,3.42227,3.14922,1.88882,0.10032,0.04167,0.01819,0.00555,3.28371,5.30422,1.45498,0.000123368,0.000123368,0.000123368
5,253.185,3.33487,3.11572,1.60007,0.19175,0.16667,0.11001,0.03393,2.87642,4.04228,1.25048,0.000151488,0.000151488,0.000151488
6,298.913,2.74461,2.35027,1.61224,0.23841,0.27778,0.16113,0.04559,2.73542,2.35001,1.25157,0.00017644,0.00017644,0.00017644
7,345.822,2.7969,2.14976,1.57608,0.34808,0.31944,0.23989,0.0656,2.79292,2.27084,1.18902,0.000198224,0.000198224,0.000198224
8,394.309,2.56172,2.16932,1.46416,0.37936,0.43299,0.2661,0.07092,2.88173,2.46603,1.23813,0.00021684,0.00021684,0.00021684
9,442.069,2.5211,1.77059,1.36981,0.35426,0.41667,0.26958,0.07311,2.72488,2.53265,1.2436,0.000232288,0.000232288,0.000232288
10,487.043,2.42136,1.71628,1.37321,0.38523,0.36111,0.3149,0.06897,2.696,2.33856,1.31332,0.000244568,0.000244568,0.000244568
11,533.43,2.44826,1.61781,1.32639,0.47863,0.30602,0.27397,0.06801,2.67146,2.22988,1.34035,0.00025368,0.00025368,0.00025368
12,583.534,2.32522,1.53583,1.27966,0.3896,0.29167,0.22748,0.06015,2.68799,2.24062,1.35417,0.000259624,0.000259624,0.000259624
13,636.502,2.26366,1.64449,1.38511,0.29125,0.31944,0.17644,0.04731,2.64411,3.6158,1.33602,0.0002624,0.0002624,0.0002624
14,679.552,2.42949,1.52834,1.3253,0.16273,0.30556,0.08722,0.02767,2.59839,5.69141,1.30011,0.000262008,0.000262008,0.000262008
15,727.696,2.38728,1.58322,1.2922,0.0788,0.29167,0.04927,0.01667,2.66546,7.30343,1.3409,0.000258448,0.000258448,0.000258448
16,773.379,2.27136,1.5743,1.25667,0.10502,0.32433,0.06738,0.02017,2.69414,5.20018,1.36959,0.00025172,0.00025172,0.00025172
17,819.2,2.26941,1.49015,1.42456,0.1477,0.375,0.10039,0.03056,2.66238,3.53238,1.34937,0.000241824,0.000241824,0.000241824
18,866.699,2.22819,1.49243,1.29597,0.26678,0.41667,0.20937,0.05858,2.62798,2.25031,1.33758,0.00022876,0.00022876,0.00022876
19,916.054,2.09006,1.3452,1.37513,0.37643,0.41667,0.31154,0.08172,2.69617,1.88342,1.38758,0.000212528,0.000212528,0.000212528
20,962.91,2.36893,1.39199,1.36306,0.42451,0.41667,0.35248,0.09419,2.64227,1.83825,1.37331,0.000193128,0.000193128,0.000193128
21,1009.26,2.151,1.28748,1.2644,0.55422,0.34722,0.34804,0.10776,2.55321,1.77006,1.3289,0.00017056,0.00017056,0.00017056
22,1056.68,2.11876,1.34224,1.30255,0.45581,0.375,0.35882,0.10984,2.50734,1.67513,1.29797,0.000144824,0.000144824,0.000144824
23,1107.85,2.15377,1.26009,1.32688,0.45904,0.375,0.3571,0.11239,2.48865,1.64716,1.28652,0.00011592,0.00011592,0.00011592
24,1152.42,2.0496,1.27996,1.32811,0.3492,0.48611,0.35735,0.11339,2.472,1.63909,1.27484,8.3848e-05,8.3848e-05,8.3848e-05
25,1199.61,2.09661,1.22757,1.26728,0.39478,0.44393,0.38322,0.11858,2.47523,1.62496,1.26705,4.8608e-05,4.8608e-05,4.8608e-05
