epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5775,4.04319,5.28673,2.49103,0,0,0,0,4.09406,5.05448,2.13132,2e-05,2e-05,2e-05
2,25.6842,3.97947,5.31937,2.43492,0.00042,0.01389,0.00025,5e-05,4.08247,5.03854,2.13053,5.8812e-05,5.8812e-05,5.8812e-05
3,36.2379,3.9069,5.0234,2.4973,0.00042,0.01389,0.00027,3e-05,4.13386,5.07331,2.1465,9.604e-05,9.604e-05,9.604e-05
4,46.0771,3.9746,5.06216,2.30653,0.01368,0.11111,0.00545,0.00131,3.41763,10.9233,1.55983,0.000131684,0.000131684,0.000131684
5,60.1118,3.70097,3.762,1.95484,0.06134,0.15278,0.02417,0.00557,3.40132,7.25313,1.72141,0.000165744,0.000165744,0.000165744
6,74.3303,3.25749,2.98095,1.74875,0.18415,0.05556,0.03613,0.01183,3.20624,3.09179,1.53473,0.00019822,0.00019822,0.00019822
7,88.2429,3.16031,2.70939,1.75596,0.34734,0.06944,0.0871,0.02352,3.16166,2.8517,1.47416,0.000229112,0.000229112,0.000229112
8,102.23,2.81115,2.36602,1.60883,0.29258,0.29167,0.21385,0.06693,2.98088,2.23369,1.48452,0.00025842,0.00025842,0.00025842
9,116.591,2.87768,2.15914,1.50245,0.23394,0.34722,0.18988,0.06764,2.82452,2.22074,1.38803,0.000286144,0.000286144,0.000286144
10,131.471,2.68688,2.00384,1.4452,0.38013,0.13889,0.16007,0.05601,3.01256,2.13158,1.51608,0.000312284,0.000312284,0.000312284
11,146.627,2.51946,1.96381,1.38333,0.13444,0.27778,0.11163,0.02744,3.09619,4.32325,1.58135,0.00033684,0.00033684,0.00033684
12,160.256,2.55458,2.07355,1.31578,0.20812,0.23611,0.14284,0.02933,3.17789,3.89663,1.63239,0.000359812,0.000359812,0.000359812
13,170.222,2.66461,2.15277,1.29872,0.20844,0.26389,0.14593,0.02925,3.14652,3.53165,1.61771,0.0003812,0.0003812,0.0003812
14,181.223,2.41478,2.11512,1.30882,0.31831,0.29167,0.19292,0.0448,3.06382,2.43559,1.63726,0.000401004,0.000401004,0.000401004
15,193.282,2.46295,1.95797,1.3056,0.46031,0.31944,0.26337,0.07089,2.92853,2.50927,1.56983,0.000419224,0.000419224,0.000419224
16,205.353,2.50004,1.62638,1.45675,0.41329,0.26389,0.24533,0.06852,2.80182,2.77055,1.48389,0.00043586,0.00043586,0.00043586
